  cp.cfg#str_step'                   no proof found (calls=205)
  cp.cfg#str_step                    no proof found (calls=263)
  all.cfg#bs_in_rew_par1             no proof found (calls=?)
  all.cfg#bs_in_rew_res              no proof found (calls=?)
  all.cfg#bs_in_rew_par2             no proof found (calls=?)
  all.cfg#bs_in_rew                  no proof found (calls=?)
  all.cfg#fs_out_rew_par1            no proof found (calls=?)
  all.cfg#fs_out_rew_par2            no proof found (calls=?)
  all.cfg#fs_out_rew                 no proof found (calls=?)
  cp.cfg#str_wtp                     no proof found (calls=58)
  cp.cfg#lin_s                       no proof found (calls=329)
  all.cfg#bs_out_rew_par1            no proof found (calls=?)
  all.cfg#bs_out_rew_res             no proof found (calls=?)
  all.cfg#fs_out_rew_res             no proof found (calls=?)
  all.cfg#bs_out_rew_par2            no proof found (calls=?)
  all.cfg#bs_out_rew                 no proof found (calls=?)
  all.cfg#bs_out_rew_open            no proof found (calls=?)
  all.cfg#fs_com1_impl_red_base      no proof found (calls=364)
  all.cfg#fs_com1_impl_red           no proof found (calls=?)
  all.cfg#fs_com2_impl_red_base      no proof found (calls=364)
  all.cfg#fs_com2_impl_red           no proof found (calls=?)
  all.cfg#fs_close1_impl_red_base    no proof found (calls=364)
  all.cfg#fstep_impl_red             no proof found (calls=?)
  all.cfg#strengthen_fstep           no proof found (calls=133)
  all.cfg#red_impl_red_rew_res       no proof found (calls=?)
  all.cfg#red_impl_red_rew           no proof found (calls=?)
  sources.cfg#subst_respects_eq      no proof found (calls=570)
  sources.cfg#eval_respects_eq       no proof found (calls=474)
  all.cfg#red_impl_red_rew_par       no proof found (calls=?)
  sources.cfg#deterministic          no proof found (calls=?)
  all.cfg#red_rew_impl_fstepcong     no proof found (calls=?)
  test.cfg#append                    no proof found (calls=?)
  all.cfg#red_impl_red_rew_str       no proof found (calls=?)
  test.cfg#subst                     no proof found (calls=35)
  test.cfg#dia                       no proof found (calls=?)
  test.cfg#strip_lemma               no proof found (calls=1102)
  test.cfg#best_step                     7 calls  36 chars  -> PASS
  test.cfg#cr                        no proof found (calls=?)
  test.cfg#eq2                       no proof found (calls=58)
  test.cfg#appd                      no proof found (calls=?)
  test.cfg#conf                      no proof found (calls=?)
  test.cfg#cr_ord                    no proof found (calls=84)
  test-crec-cover.cfg#dia            no proof found (calls=99)
  test.cfg#eq1                       no proof found (calls=96)
  test.cfg#eq4                       no proof found (calls=3581)
  test-crec-cover.cfg#subst          no proof found (calls=35)
